id,bathroom,locality,property_size,rent_amount,type_bhk
1811,2,Bowenpally,900,12000,2
1812,2,Neknampur,1885,25000,3
1813,2,Tellapur,1350,7500,2
1816,1,Ameenpur,1200,8500,2
1823,3,Nizampet,1400,22000,3
1825,3,Nizampet,1500,15000,3
1826,1,Hayathnagar,900,5500,1
1827,1,Hayathnagar,900,5500,1
1831,2,Pragathi Nagar,1515,13000,3
1832,2,Pragathi Nagar,980,14000,2
1836,1,Kondapur,400,7500,1
1838,3,Kondapur,2000,25000,3
1840,2,Amberpet,1400,20000,2
1850,3,Manikonda,1159,14000,3
1851,2,Ramachandra Puram,1440,28000,3
1853,2,Bachupally,1000,11000,2
1854,3,Dilsukhnagar,1450,25000,3
1857,2,Kondapur,1130,18000,2
1858,3,Kondapur,1625,26000,3
1859,2,Kukatpally,1050,19000,2
1861,3,Khajaguda,1957,30000,3
1868,2,Gachibowli,1200,30000,3
1875,1,Hafeezpet,600,10000,2
1878,2,Miyapur,1540,16000,3
1881,2,Kukatpally,1210,14999,2
1882,2,Mallapur,1150,12000,2
1889,2,Kothapet,800,11000,2
1891,2,Kothapet,800,11000,2
1894,1,Ram Nagar,300,5500,1
1897,2,Ramachandra Puram,1500,8500,2
1899,3,Krishna Reddy Pet,2000,18000,3
1901,2,Nizampet,1180,15000,2
1904,2,Chanda Nagar,766,11000,2
1908,2,Madinaguda,1500,18000,3
1910,2,Narsingi,1000,17000,2
1911,2,Narsingi,1000,17000,2
